x_fit,y_fit
2.364241586729169675e-01,1.206640399757371584e-01
2.167203598286445709e-01,1.227259140450591146e-01
1.972056808784579673e-01,1.261418061751468089e-01
1.779730551504206115e-01,1.308954491127820030e-01
1.591140727711715108e-01,1.369642049319317878e-01
1.407185444929606177e-01,1.443191728406880148e-01
1.228740739944741145e-01,1.529253268133948795e-01
1.056656406922447666e-01,1.627416823925278422e-01
8.917519504938886676e-02,1.737214918659799046e-01
7.348126830891610339e-02,1.858124668902683130e-01
5.865859851013172088e-02,1.989570274994898191e-01
4.477777456914008858e-02,2.130925763141799101e-01
3.190490011841359830e-02,2.281517966442330181e-01
2.010127870629677127e-02,2.440629730662550179e-01
9.423121855606175767e-03,2.607503329486732802e-01
-7.871862839536891698e-05,2.781344072982002702e-01
-8.358992825830635631e-03,2.961324092092063598e-01
-1.537826819259080491e-02,3.146586281137433994e-01
