x_fit,y_fit
-7.227913026103982563e-01,2.477744766695774703e-01
-7.136791987555355377e-01,2.299977233995751380e-01
-7.037021675473119631e-01,2.126915903319456236e-01
-6.928844508527266521e-01,1.958981273477952145e-01
-6.812523332091193762e-01,1.796581386590783980e-01
-6.688340779588565210e-01,1.640110836638513647e-01
-6.556598585759747522e-01,1.489949810691009735e-01
-6.417616853516552311e-01,1.346463165141275620e-01
-6.271733276166526760e-01,1.209999539189170470e-01
-6.119302316896736427e-01,1.080890507729224126e-01
-5.960694347510562263e-01,9.594497757006681393e-02
-5.796294748510347761e-01,8.459724158573816988e-02
-5.626502972712297268e-01,7.407341518096444144e-02
-5.451731574669020919e-01,6.439906880798784705e-02
-5.272405208257814335e-01,5.559770888000636901e-02
-5.088959594870453573e-01,4.769072065605411970e-02
-4.901840464711501033e-01,4.069731627979278343e-02
-4.711502473777456901e-01,3.463448809846636500e-02
-4.518408099148412682e-01,2.951696737544806659e-02
-4.323026515276178205e-01,2.535718849669271746e-02
-4.125832453999465632e-01,2.216525875807040524e-02
-3.927305051055799967e-01,1.994893380698514740e-02
-3.727926681893092842e-01,1.871359879795542192e-02
-3.528181789609361463e-01,1.846225530793954572e-02
-3.328555707868647295e-01,1.919551404320157806e-02
-3.129533481652959082e-01,2.091159335543718578e-02
-2.931598688715754131e-01,2.360632357076442034e-02
-2.735232264600332974e-01,2.727315712106287426e-02
-2.540911334078304051e-01,3.190318445304157757e-02
-2.349108051847225709e-01,3.748515567638383006e-02
-2.160288455304480715e-01,4.400550789836465970e-02
-1.974911332184664248e-01,5.144839817852947528e-02
-1.793427105812070987e-01,5.979574202335541377e-02
-1.616276740676651780e-01,6.902725732736947339e-02
-1.443890670992842296e-01,7.912051365394856539e-02
-1.276687754844411105e-01,9.005098673606976023e-02
-1.115074256456716484e-01,1.017921180645766643e-01
-9.594428590690140535e-02,1.143153794191871242e-01
-8.101717108054962146e-02,1.275903421854342468e-01
-6.676235058631951880e-02,1.415847512891316717e-01
-5.321446032494264733e-02,1.562646035687027535e-01
-4.040641852098586506e-02,1.715942303949641867e-01
-2.836934573921839897e-02,1.875363843376033346e-01
-1.713248926887384060e-02,2.040523296677748677e-01
-6.723152059531500857e-03,2.211019364769235274e-01
2.833373618702117458e-03,2.386437781831299565e-01
1.151386762953382492e-02,2.566352321880813747e-01
1.929723839001612484e-02,2.750325834400744185e-01
2.616457411819350654e-02,2.937911306514356391e-01
3.209918878433554168e-02,3.128652949122558979e-01
3.708666265411258989e-02,3.322087304365535232e-01
4.111487732519725213e-02,3.517744371717572704e-01
4.417404517216699800e-02,3.715148749979159670e-01
4.625673312815770100e-02,3.913820792391349834e-01
4.735788074548974436e-02,4.113277772065968563e-01
4.747481249137902592e-02,4.313035054899697629e-01
4.660724424885998030e-02,4.512607277122365756e-01
4.475728400712392085e-02,4.711509524618048284e-01
4.192942673959493272e-02,4.909258511153719584e-01
3.813054348218952727e-02,5.105373752652422326e-01
3.336986463829572092e-02,5.299378734657955725e-01
2.765895755103925380e-02,5.490802070154195968e-01
2.101169839732652811e-02,5.679178644926048403e-01
1.344423847196185573e-02,5.864050747678827280e-01
4.974964943752657742e-03,6.044969182170379929e-01
-4.375543821034832970e-03,6.221494358653500978e-01
-1.458456825932491485e-02,6.393197361976895587e-01
-2.562730281448954983e-02,6.559660993749287794e-01
-3.747691620808429880e-02,6.720480786034528364e-01
